developer;developer_id
Brandon Brizzi;658
Shadow Planet Productions;659
Coreplay GmbH;660
Black Pants Studio;661
Blit Software;662
Suspicious Developments;663
Monolith Productions, Inc.;664
ACQUIRE Corp.;665
System Prisma;666
DrinkBox Studios;667
Deep Silver Volition;668
Freebird Games;669
Standing Stone Games, LLC;670
Carbon Games;671
Reality Pump;672
Enigma SP;673
Digital Reality Software & Playbox;674
BlinkWorks Media;675
DoubleDutch Games;676
Almost Human Games;677
exDream;678
CodeBrush Games;679
3 Sprockets;680
Nihon Falcom;681
Flat Software;682
Tennen-sozai;683
Tribute Games Inc.;684
David Williamson;685
"UBIart Montpellier;Feral Interactive (Mac)";686
Joakim Sandberg;687
increpare games;688
Misfits Attic;689
Big Robot Ltd;690
ExDream GmbH;691
Empty Clip Studios;692
Trickstar Games;693
Southend;694
AMPLITUDE Studios;695
"Obsidian Entertainment;Aspyr (Mac, Linux, & Windows Update)";696
Shovsoft;697
Rocksteady Studios;698
Gaijin Entertainment Corporation;699
Finn Morgan;700
"WB Games Montreal;Splash Damage";701
Slant Six Games;702
Capcom U.S.A., Inc.;703
Curve Studios;704
Waterlily Games;705
Doublesix Games;706
Love Conquers All Games;707
The Binary Mill;708
Born Ready Games Ltd.;709
Pantera Entertainment;710
"Sledgehammer Games;Raven Software";711
Data Realms;712
Subatomic Studios LLC;713
Wizarbox;714
Burut CT;715
Jasper Byrne;716
Jet Set Games;717
Spry Fox LLC;718
Spaces of Play;719
Pwnee Studios;720
Human Head Studios;721
Thekla, Inc.;722
Creative Assembly, PC Port - Hardlight;723
Talawa Games;724
Spooky Squid Games Inc.;725
Hanako Games;726
Kyle Pulver;727
Tequila Works, S.L.;728
Smudged Cat Games Ltd;729
Sector3 Studios;730
Yeti Trunk;731
Looking Glass Studios;732
Black Market Games;733
Chucklefish;734
Illwinter Game Design;735
Fishlabs Entertainment GmbH;736
Qooc Software;737
XII Games;738
Star Gem Inc.;739
Turtle Cream;740
devCAT;741
Cloud 9 Studio;742
"Ubisoft Paris;Red Storm Entertainment";743
Subset Games;744
Crankshaft Games;745
New Star Games;746
Vlambeer;747
Overhaul Games;748
BitSits Games;749
Engient, Inc;750
IPACS;751
Larian Studios;752
SuperVillain Studios;753
Edelweiss;754
773;755
Aspyr;756
"SNK Games;Elemental Games;Katauri Interactive";757
"Edmund McMillen;Tyler Glaiel";758
Opus;759
Aleksey Abramenko;760
Ankama Studio;761
KING Art;762
Lukewarm Media;763
Ratloop Asia;764
stealth.gg;765
Noumena Studios;766
Benjamin Rivers Inc.;767
Okugi Studio;768
ASK Homework;769
Naddic Games;770
I-deal Games;771
Kukouri;772
Camel101 LLC;773
Nexon;774
Big Ant Studios;775
Rubicon Development;776
Cyanide Studio - Spiders Studios;777
Slipgate Ironworks™;778
Dreampainters;779
CI Games;780
2x2 Games;781
Level Up Labs, LLC;782
OVERKILL - a Starbreeze Studio.;783
Shiver Games;784
5th Cell Media;785
Might and Delight;786
Keen Software House;787
Dennaton Games;788
Stoic;789
Torn Banner Studios;790
Ed Key and David Kanaga;791
Transhuman Design;792
Alexander Bruce;793
Crate Entertainment;794
SkyGoblin;795
"Redlynx Ltd;Ubisoft  Shanghaï";796
Squad;797
Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai;798
HeR Interactive, Inc.;799
Ninja Theory;800
Serious Brew;801
Zero Sum Games;802
KADOKAWA;803
Bithell Games;804
Exor Studios;805
Sos Sosowski;806
Xavi Canal, Ben Palgi;807
"Rudolf Kremers & Alex May;Tuna";808
Tomorrow Corporation;809
"Skybox Labs;Hidden Path Entertainment;Ensemble Studios;Forgotten Empires";810
Galactic Cafe;811
Neko Entertainment;812
Red Fly Studio;813
"SNK CORPORATION;Code Mystics";814
Abbey Games;815
New World Interactive;816
SNK CORPORATION;817
CSR-Studios;818
Dambuster Studios;819
Black Forest Games;820
Zeptolab UK Limited;821
BlackMark Studio;822
Avatar Creations;823
][ Games Inc;824
Running With Scissors;825
ioneo;826
Team Psykskallar;827
Ankama Games;828
Eagle Dynamics SA;829
Goldhawk Interactive;830
Blackbird Interactive;831
No More Room in Hell Team;832
Compulsion Games;833
Young Horses;834
Robotronic Games;835
Virtuos;836
Polytron Corporation;837
Megadev;838
Core Design;839
Starbreeze Studios AB;840
General Arcade;841
Puny Human;842
Ascaron;843
Sven Co-op Team;844
Codemasters;845
QCF Design;846
"Radial Games Corp;Dejobaan Games, LLC";847
Milestone S.r.l.;848
Wormwood Studios;849
